query,well_behaved,1a,1b
81,True,True,True
113,True,True,True
126,True,True,True
5,True,True,True
99,True,True,True
44,True,True,True
123,True,True,True
22,True,True,True
15,True,True,True
85,True,True,True
93,True,True,True
135,True,True,True
17,True,True,True
92,True,True,True
100,True,True,True
72,False,True,False
18,True,True,True
106,True,True,True
50,True,True,True
52,True,True,True
2,True,True,True
115,True,True,True
130,False,True,False
36,True,True,True
53,False,True,False
78,False,True,False
75,False,True,False
8,True,True,True
91,True,True,True
65,False,True,False
96,True,True,True
64,False,True,False
83,True,True,True
66,True,True,True
69,False,True,False
82,True,True,True
95,True,True,True
79,False,True,False
35,True,True,True
28,False,True,False
14,True,True,True
136,True,True,True
141,False,True,False
4,True,True,True
124,True,True,True
138,True,True,True
13,True,True,True
10,True,True,True
6,True,True,True
112,True,True,True
133,True,True,True
39,True,True,True
63,False,True,False
41,True,True,True
71,True,True,True
140,False,True,False
129,True,True,True
59,True,True,True
9,True,True,True
134,True,True,True
68,False,True,False
132,True,True,True
43,True,True,True
51,True,True,True
34,True,True,True
146,False,True,False
37,True,True,True
40,True,True,True
49,True,True,True
116,True,True,True
97,True,True,True
33,True,True,True
29,True,True,True
46,True,True,True
144,True,True,True
48,True,True,True
89,True,True,True
77,True,True,True
57,True,True,True
86,True,True,True
62,False,True,False
131,True,True,True
90,True,True,True
32,True,True,True
117,True,True,True
119,True,True,True
25,True,True,True
3,True,True,True
84,True,True,True
139,False,True,False
104,True,True,True
94,True,True,True
118,True,True,True
121,True,True,True
70,False,True,False
128,True,True,True
19,True,True,True
47,True,True,True
23,True,True,True
16,True,True,True
110,True,True,True
101,False,True,False
27,True,True,True
61,False,True,False
76,False,True,False
142,False,True,False
12,True,True,True
108,True,True,True
145,False,True,False
88,True,True,True
42,False,True,False
127,True,True,True
67,False,True,False
56,True,True,True
55,True,True,True
143,False,True,False
103,True,True,True
125,True,True,True
11,True,True,True
137,False,True,False
20,True,True,True
98,True,True,True
54,False,True,False
107,True,True,True
38,True,True,True
45,True,True,True
7,True,True,True
73,False,True,False
111,True,True,True
1,True,True,True
87,True,True,True
60,False,True,False
24,True,True,True
30,True,True,True
80,True,True,True
105,True,True,True
114,True,True,True
21,True,True,True
102,False,True,False
109,True,True,True
74,False,True,False
26,True,True,True
31,True,True,True
