duration(µs),method,variant,query
1251537,BinaryJoin,flatten,26b
2129161,Yannakakis,flatten,26b
1641261,BinaryJoin,flatten,26b
1680143,Yannakakis,flatten,26b
1298969,BinaryJoin,flatten,26b
1974109,Yannakakis,flatten,26b
1456906,BinaryJoin,flatten,26b
1719390,Yannakakis,flatten,26b
1191977,BinaryJoin,flatten,26b
1980188,Yannakakis,flatten,26b
1526610,BinaryJoin,flatten,26b
2052307,Yannakakis,flatten,26b
1110306,BinaryJoin,flatten,26b
2174029,Yannakakis,flatten,26b
1612847,BinaryJoin,flatten,26b
1835764,Yannakakis,flatten,26b
1111696,BinaryJoin,flatten,26b
1972368,Yannakakis,flatten,26b
1686275,BinaryJoin,flatten,26b
1941744,Yannakakis,flatten,26b
2324818,BinaryJoin,flatten,19b
2750744,Yannakakis,flatten,19b
1887228,BinaryJoin,flatten,19b
2856311,Yannakakis,flatten,19b
2595651,BinaryJoin,flatten,19b
2354610,Yannakakis,flatten,19b
2532805,BinaryJoin,flatten,19b
2520553,Yannakakis,flatten,19b
2127263,BinaryJoin,flatten,19b
2969854,Yannakakis,flatten,19b
1854799,BinaryJoin,flatten,19b
2702897,Yannakakis,flatten,19b
1920111,BinaryJoin,flatten,19b
3129297,Yannakakis,flatten,19b
2267395,BinaryJoin,flatten,19b
2558119,Yannakakis,flatten,19b
2295407,BinaryJoin,flatten,19b
2618880,Yannakakis,flatten,19b
1858261,BinaryJoin,flatten,19b
2918140,Yannakakis,flatten,19b
2440955,BinaryJoin,flatten,11d
322135,Yannakakis,flatten,11d
2300089,BinaryJoin,flatten,11d
460192,Yannakakis,flatten,11d
2619022,BinaryJoin,flatten,11d
471482,Yannakakis,flatten,11d
2032222,BinaryJoin,flatten,11d
373904,Yannakakis,flatten,11d
2248954,BinaryJoin,flatten,11d
545611,Yannakakis,flatten,11d
2044057,BinaryJoin,flatten,11d
378737,Yannakakis,flatten,11d
1536596,BinaryJoin,flatten,11d
405112,Yannakakis,flatten,11d
2265986,BinaryJoin,flatten,11d
349670,Yannakakis,flatten,11d
2221156,BinaryJoin,flatten,11d
396258,Yannakakis,flatten,11d
1593109,BinaryJoin,flatten,11d
275564,Yannakakis,flatten,11d
