duration(µs),method,variant,query
1557138,BinaryJoin,flatten,26b
1829703,Yannakakis,flatten,26b
1340469,BinaryJoin,flatten,26b
1346838,Yannakakis,flatten,26b
1293095,BinaryJoin,flatten,26b
1385079,Yannakakis,flatten,26b
1299371,BinaryJoin,flatten,26b
1338542,Yannakakis,flatten,26b
1285166,BinaryJoin,flatten,26b
1344887,Yannakakis,flatten,26b
1303909,BinaryJoin,flatten,26b
1356183,Yannakakis,flatten,26b
1305287,BinaryJoin,flatten,26b
1372995,Yannakakis,flatten,26b
1302566,BinaryJoin,flatten,26b
1358971,Yannakakis,flatten,26b
1299796,BinaryJoin,flatten,26b
1363655,Yannakakis,flatten,26b
1312017,BinaryJoin,flatten,26b
1360116,Yannakakis,flatten,26b
3488005,BinaryJoin,flatten,19b
3239168,Yannakakis,flatten,19b
3150164,BinaryJoin,flatten,19b
3207281,Yannakakis,flatten,19b
3162236,BinaryJoin,flatten,19b
3334317,Yannakakis,flatten,19b
3163589,BinaryJoin,flatten,19b
3318014,Yannakakis,flatten,19b
3143332,BinaryJoin,flatten,19b
3145824,Yannakakis,flatten,19b
3148708,BinaryJoin,flatten,19b
3332188,Yannakakis,flatten,19b
3527796,BinaryJoin,flatten,19b
3655173,Yannakakis,flatten,19b
3320607,BinaryJoin,flatten,19b
3326166,Yannakakis,flatten,19b
3258136,BinaryJoin,flatten,19b
3445543,Yannakakis,flatten,19b
3298591,BinaryJoin,flatten,19b
3408352,Yannakakis,flatten,19b
1452504,BinaryJoin,flatten,11d
256279,Yannakakis,flatten,11d
1348838,BinaryJoin,flatten,11d
287204,Yannakakis,flatten,11d
833250,BinaryJoin,flatten,11d
292357,Yannakakis,flatten,11d
711600,BinaryJoin,flatten,11d
235147,Yannakakis,flatten,11d
839067,BinaryJoin,flatten,11d
233955,Yannakakis,flatten,11d
995316,BinaryJoin,flatten,11d
284960,Yannakakis,flatten,11d
772205,BinaryJoin,flatten,11d
334660,Yannakakis,flatten,11d
811178,BinaryJoin,flatten,11d
236412,Yannakakis,flatten,11d
605405,BinaryJoin,flatten,11d
235099,Yannakakis,flatten,11d
547642,BinaryJoin,flatten,11d
226572,Yannakakis,flatten,11d
3016342,BinaryJoin,flatten,31b
3423210,Yannakakis,flatten,31b
3182179,BinaryJoin,flatten,31b
3383422,Yannakakis,flatten,31b
2892273,BinaryJoin,flatten,31b
2965007,Yannakakis,flatten,31b
3042023,BinaryJoin,flatten,31b
3072899,Yannakakis,flatten,31b
2964964,BinaryJoin,flatten,31b
2956261,Yannakakis,flatten,31b
2937770,BinaryJoin,flatten,31b
2892653,Yannakakis,flatten,31b
2966692,BinaryJoin,flatten,31b
2918624,Yannakakis,flatten,31b
3051619,BinaryJoin,flatten,31b
3231963,Yannakakis,flatten,31b
2874565,BinaryJoin,flatten,31b
3080269,Yannakakis,flatten,31b
2948738,BinaryJoin,flatten,31b
2835645,Yannakakis,flatten,31b
2049693,BinaryJoin,flatten,9d
2355700,Yannakakis,flatten,9d
2193095,BinaryJoin,flatten,9d
2170402,Yannakakis,flatten,9d
2633838,BinaryJoin,flatten,9d
1934932,Yannakakis,flatten,9d
2059865,BinaryJoin,flatten,9d
1922071,Yannakakis,flatten,9d
2075285,BinaryJoin,flatten,9d
1917994,Yannakakis,flatten,9d
2389906,BinaryJoin,flatten,9d
2340382,Yannakakis,flatten,9d
2410365,BinaryJoin,flatten,9d
1859570,Yannakakis,flatten,9d
1989009,BinaryJoin,flatten,9d
1828558,Yannakakis,flatten,9d
1978114,BinaryJoin,flatten,9d
1832843,Yannakakis,flatten,9d
1994148,BinaryJoin,flatten,9d
1843111,Yannakakis,flatten,9d
975475,BinaryJoin,flatten,6e
1045636,Yannakakis,flatten,6e
999200,BinaryJoin,flatten,6e
1057316,Yannakakis,flatten,6e
979316,BinaryJoin,flatten,6e
1028242,Yannakakis,flatten,6e
990014,BinaryJoin,flatten,6e
1019956,Yannakakis,flatten,6e
1196946,BinaryJoin,flatten,6e
1233308,Yannakakis,flatten,6e
1234993,BinaryJoin,flatten,6e
1271738,Yannakakis,flatten,6e
1136152,BinaryJoin,flatten,6e
1041572,Yannakakis,flatten,6e
997705,BinaryJoin,flatten,6e
1056559,Yannakakis,flatten,6e
1174947,BinaryJoin,flatten,6e
1302495,Yannakakis,flatten,6e
1014934,BinaryJoin,flatten,6e
1118979,Yannakakis,flatten,6e
848392,BinaryJoin,flatten,21b
1421037,Yannakakis,flatten,21b
1107751,BinaryJoin,flatten,21b
923295,Yannakakis,flatten,21b
927206,BinaryJoin,flatten,21b
971800,Yannakakis,flatten,21b
942598,BinaryJoin,flatten,21b
978985,Yannakakis,flatten,21b
965971,BinaryJoin,flatten,21b
1020144,Yannakakis,flatten,21b
972312,BinaryJoin,flatten,21b
1122537,Yannakakis,flatten,21b
1263644,BinaryJoin,flatten,21b
1430403,Yannakakis,flatten,21b
1398868,BinaryJoin,flatten,21b
1203824,Yannakakis,flatten,21b
